City Name,Latitude,Temperature (F),Humidity,Cloudiness,Wind Speed (mph)
Mecca,21.43,79.45,65,0,2.98
Kenai,60.55,49.24,61,1,13.87
Gold Coast,-28.0,73.04,60,0,12.75
Las Palmas,9.27,76.77,86,40,4.81
Poum,41.28,50.32,41,0,3.18
Ust-Nera,64.57,-6.94,99,97,1.97
Dalby,-27.18,70.83,68,20,8.05
Cayenne,4.94,82.4,74,20,5.82
Codrington,-28.95,68.63,72,0,4.41
Mosjoen,65.84,48.07,87,100,10.29
Niksar,40.59,49.05,90,53,0.89
Qaanaaq,77.48,22.82,87,100,12.8
Salalah,17.01,78.8,54,0,4.7
Dingle,11.0,80.83,81,0,6.64
Praia,-20.25,77.0,53,20,16.11
Torbay,47.66,44.65,75,90,11.41
Tigil,57.8,21.94,74,0,4.76
Karratha,-20.74,80.98,46,0,7.36
Grindavik,63.84,26.02,68,75,21.92
Kirakira,-10.46,82.76,68,12,14.34
Chumphon,10.5,75.74,87,1,1.57
Beringovskiy,63.05,21.97,78,1,20.2
Mogok,22.92,65.01,91,5,3.18
Vostok,46.45,44.47,40,0,3.04
Guerrero Negro,27.97,79.86,30,0,14.56
Naze,5.43,80.6,88,40,3.94
Levokumskoye,44.82,48.27,59,32,2.82
Freeport,26.54,80.6,88,40,6.93
Nome,30.04,73.65,47,1,12.75
Osypenko,48.04,48.2,100,90,4.47
Columbus,32.46,68.86,28,1,3.42
Norman Wells,65.28,24.8,92,75,6.93
Faanui,-16.48,79.68,69,99,8.25
Araouane,18.9,89.74,20,27,19.8
Upernavik,72.79,21.88,59,86,10.27
Pacaembu,-21.56,78.15,50,32,3.67
Saldanha,41.42,45.59,87,89,4.32
Coos Bay,43.37,64.09,77,1,18.34
Tual,-5.67,81.05,78,85,5.35
Marawi,8.0,78.01,88,97,4.0
Bologoye,57.88,46.89,94,91,3.47
Avarua,-21.21,77.0,78,33,6.93
Khromtau,50.26,42.71,85,20,10.07
Roald,62.58,50.23,58,20,18.34
Acapulco,16.86,86.0,74,40,4.7
Florianopolis,-27.6,65.66,77,40,6.93
Gushikawa,26.35,73.85,69,1,10.29
Zhezkazgan,47.8,35.65,36,58,6.87
Bubaque,11.28,82.78,74,77,4.9
Tuktoyaktuk,69.44,17.6,92,40,4.7
Puerto Ayora,-0.74,72.21,65,40,21.92
San Patricio,-26.98,64.92,75,0,6.22
Alta Floresta,-9.87,77.0,94,75,3.36
Piedras Negras,28.7,85.17,45,5,18.34
Chiredzi,-21.05,73.53,74,36,5.39
Sergeyevka,53.88,37.02,91,57,15.93
Rawa Mazowiecka,51.76,52.61,100,90,6.93
Kabo,7.69,71.17,94,16,0.96
Bhimunipatnam,17.88,75.2,100,90,6.73
Tautira,-17.73,84.07,62,20,10.29
Nouadhibou,20.93,69.8,60,33,16.11
Harper,30.3,79.74,34,1,13.87
Goderich,43.74,51.89,72,20,9.01
Remontnoye,46.56,46.15,70,92,8.95
Rafsanjan,30.4,55.06,58,56,3.0
Lae,-6.72,80.6,74,40,2.24
Willowmore,-33.3,48.24,84,99,5.28
Raymond Terrace,-32.76,73.35,64,0,1.12
Abalak,15.46,86.7,18,0,13.8
Atar,20.52,83.05,29,18,12.68
Ballina,54.11,50.32,100,75,8.05
Talnakh,69.49,24.8,85,75,24.61
Fagernes,60.99,37.0,78,93,1.01
Pingliang,35.54,30.79,79,100,5.14
Mount Gambier,-37.83,71.6,33,43,10.29
Namibe,-15.19,68.81,70,34,5.57
Ierissos,40.4,56.43,69,0,3.0
San Quintin,17.54,78.66,76,22,3.36
Humberto de Campos,-2.6,77.22,87,31,5.66
Cockburn Town,21.46,84.2,74,40,11.41
Troyes,48.3,55.58,100,93,5.82
Thinadhoo,0.53,78.58,86,98,21.56
Honiara,-9.43,87.8,66,20,9.17
Yaritagua,10.08,86.0,48,20,3.11
Hami,42.84,30.42,33,0,1.07
Otane,-39.89,55.99,76,30,23.0
Dong Hoi,17.48,77.04,89,97,1.1
Mareeba,-16.99,74.03,69,90,16.11
Punta Alta,-27.46,79.97,47,8,8.05
Dunnville,42.9,53.6,43,20,17.22
Tiksi,71.64,-0.62,91,0,8.63
Ancud,-41.87,60.8,59,21,5.82
Evensk,61.92,16.34,41,0,8.77
Denpasar,-8.65,77.0,94,20,3.36
Surt,31.21,66.31,66,0,9.4
Bilibino,68.06,5.27,94,100,3.87
Arona,45.76,61.32,100,75,5.82
Samarai,-10.62,78.93,87,65,4.63
Los Llanos de Aridane,28.66,63.91,68,75,8.05
Atambua,-9.11,83.41,45,77,2.89
Fort Nelson,58.81,35.6,80,75,9.17
Hasaki,35.73,62.29,88,75,9.17
Comodoro Rivadavia,-45.87,50.0,81,40,10.29
Kurilsk,45.23,46.96,67,6,12.95
Kencong,-7.78,77.25,75,48,5.44
Santa Marta,11.24,87.8,66,20,4.7
Hay River,60.82,35.6,74,40,10.29
Jaromerice nad Rokytnou,49.09,52.45,76,36,10.29
Raub,3.79,72.63,96,67,0.38
Ahipara,-35.17,70.0,69,10,22.75
Prince Rupert,54.32,50.0,81,90,19.46
Coquimbo,-29.95,65.03,82,90,8.05
Wasilla,61.58,46.83,61,1,11.41
Rio Gallegos,-51.62,53.6,54,100,25.28
Yumen,40.29,25.27,34,0,9.75
Muravlenko,63.79,26.19,96,100,15.61
Sechura,-5.56,64.15,88,54,13.91
Sierre,46.29,51.87,55,75,4.7
Amapa,15.09,84.2,74,40,11.41
Cowra,-33.84,72.0,38,0,1.99
Kuching,1.56,73.15,100,75,1.92
Basco,40.33,63.57,42,1,6.93
Makhinjauri,41.67,60.8,87,75,11.41
Sao Joao da Barra,-21.64,73.4,78,75,4.7
Banda Aceh,5.56,73.31,92,100,2.39
Aklavik,68.22,21.96,92,90,5.82
Verkh-Usugli,52.7,15.75,76,0,2.19
High Rock,26.63,80.6,88,40,6.93
Suzhou,33.65,63.88,58,0,3.67
Udayagiri,12.32,67.86,95,98,6.08
Kargasok,59.06,32.2,85,96,10.45
Walvis Bay,-22.95,57.69,87,0,4.7
Daru,-9.07,82.45,75,75,10.38
Yukon,35.51,75.22,33,1,5.82
Port-Gentil,-0.72,78.8,94,40,6.93
Toppenish,46.38,60.85,38,1,3.36
Campos,41.97,53.13,87,20,3.36
Jijiga,9.35,58.19,42,0,8.93
Nalut,31.86,81.79,27,86,25.59
Amurzet,47.69,40.75,57,16,7.67
Shar,7.3,72.48,96,100,4.0
Wewak,-3.55,81.61,73,38,6.24
Cidreira,-30.17,66.85,78,4,16.89
Nanakuli,21.39,84.96,69,90,9.17
Aripuana,-9.17,75.79,83,90,3.02
Chaman,30.92,47.93,26,0,5.3
Auki,12.18,76.98,51,99,6.96
Flinders,-34.58,72.82,52,0,4.7
Mayo,63.59,28.4,86,90,10.29
Adrar,27.87,68.0,19,1,9.17
Changping,40.22,51.24,93,85,2.24
Narang,32.43,66.58,41,48,3.42
Tandalti,13.01,84.31,57,56,2.91
Howard Springs,-12.5,82.35,69,20,6.93
Egvekinot,66.32,11.52,82,0,7.09
Choszczno,53.17,48.74,93,0,10.29
Austin,30.27,82.87,35,20,10.29
Verkhnyaya Inta,65.99,23.9,92,100,17.0
Morondava,-20.3,75.65,76,43,1.61
Saskylakh,71.97,4.35,85,100,17.83
Timbuktu,16.77,93.96,17,8,7.85
Palm Coast,29.55,73.26,53,1,8.05
Itaituba,-4.26,80.6,83,20,4.7
Mahebourg,-20.41,71.83,88,20,4.7
Olinda,-37.84,75.63,27,2,16.11
Hounde,11.5,79.43,69,100,5.26
Vestmannaeyjar,63.44,30.72,56,0,26.19
Marovoay,-16.11,78.8,78,20,2.24
Ishigaki,24.34,71.6,78,20,3.36
Tessaoua,13.76,86.56,17,75,12.55
Jishou,28.26,55.53,89,14,2.39
Port Augusta,-32.49,84.2,10,0,11.41
Olovyannaya,50.94,21.87,52,0,2.75
Boa Vista,2.82,84.2,66,40,1.12
Boyolangu,-8.09,77.25,75,48,5.44
Dalianwan,39.03,58.41,100,40,2.24
Pimentel,-3.7,80.29,66,82,3.33
Faya,18.39,60.85,93,0,4.45
Zhuhai,40.71,37.4,64,20,8.95
Ostrovnoy,68.05,24.03,88,100,9.44
Namatanai,-3.66,84.24,73,84,13.71
Erenhot,43.65,31.33,98,100,12.88
Fonte Boa,-2.51,76.96,88,84,2.19
Verkhoyansk,67.55,-0.28,87,78,1.7
Nabire,-3.36,74.66,91,85,1.01
Jieshi,22.82,73.99,77,0,4.59
Tessalit,20.2,85.03,17,0,9.19
Tyrma,50.04,34.27,79,100,1.66
Bonavista,48.65,46.0,83,0,5.99
Ponta do Sol,-20.63,69.04,80,100,5.19
Padron,42.74,52.25,100,20,2.24
Jutai,-1.71,75.88,85,65,3.47
Mujiayingzi,42.12,44.31,49,50,2.01
Wageningen,51.98,54.9,93,90,6.93
Batagay,67.65,0.77,88,81,2.17
Pangnirtung,66.15,44.6,45,90,23.04
Ribeirao,-8.51,78.8,78,20,5.82
Vila Franca do Campo,37.72,69.91,88,40,12.75
Ludvika,60.15,46.38,81,83,6.93
Hamilton,43.26,53.46,43,20,17.22
Narsaq,60.91,30.2,74,96,1.12
Lethem,3.38,83.41,64,23,5.93
Tanabe,33.73,64.99,93,99,24.29
Najran,17.54,68.0,25,36,4.7
Blagoyevo,63.37,28.27,94,88,4.34
Morant Bay,17.88,80.6,74,40,19.46
Abilene,32.45,82.71,28,1,18.34
Weiser,44.25,60.4,23,1,10.29
Kruisfontein,-34.0,52.83,90,94,3.74
Bud,62.91,49.44,81,100,12.75
Fairbanks,64.84,38.26,48,90,12.75
Weyburn,49.67,42.01,47,66,8.01
Mandurah,-32.55,55.4,100,40,8.05
Nakhon Thai,17.1,71.71,88,50,1.59
Nantucket,41.28,58.35,77,1,12.75
Te Anau,-45.41,41.45,72,27,10.02
Lagoa,37.14,59.23,67,48,13.87
Baker City,44.77,55.47,33,1,14.99
Orcopampa,-15.27,39.24,37,37,4.12
Joensuu,62.6,33.35,100,55,3.36
Grand Gaube,-20.01,71.8,88,20,4.7
Tynda,55.15,25.39,84,91,3.27
Baiyin,36.55,28.4,100,90,2.24
Kishi,9.08,73.09,90,78,5.95
Anamur,36.08,60.8,77,40,3.36
Winnemucca,40.97,63.0,12,1,9.17
Talara,-4.58,62.6,100,40,10.29
Kamaishi,39.28,61.05,72,100,2.89
Buala,-8.15,83.23,76,90,13.42
Phonhong,18.5,75.96,84,42,1.1
Monaghan,54.25,51.8,93,75,9.17
Surab,28.49,49.95,26,0,4.29
Havoysund,71.0,30.2,86,75,5.82
Beloha,-25.17,71.35,82,0,6.29
Caravelas,-17.73,73.35,95,100,8.25
Tateyama,36.66,61.16,93,75,1.12
Semnan,35.58,57.2,87,20,2.24
Ambilobe,-13.19,77.45,72,0,11.01
Nuuk,64.17,30.09,63,98,1.12
Melfort,52.87,39.2,51,1,8.05
Basoko,1.23,71.15,90,81,0.51
Terrace,54.52,44.6,100,90,11.41
Khorixas,-20.37,67.48,27,0,6.73
Sangueya,10.7,76.41,85,100,1.43
Vredendal,-31.68,55.33,78,96,0.45
Maumere,-8.63,79.66,69,92,4.05
Bjelovar,45.9,47.5,93,48,2.24
Amahai,-3.31,79.23,78,83,1.25
Jackson,43.48,36.75,48,40,14.99
Kumluca,36.37,67.44,44,9,7.2
Zlobin,45.29,57.52,100,18,2.24
Carahue,-38.71,60.8,59,0,11.41
Raudeberg,61.99,53.53,71,100,33.33
Kudahuvadhoo,2.67,81.43,79,91,10.69
Fare,-16.7,79.93,68,100,8.39
Aligudarz,33.4,45.81,73,92,0.98
Miri,10.31,75.25,70,92,2.57
Filadelfia,-22.35,77.47,29,0,8.57
Marsa Matruh,31.35,66.2,82,40,12.06
Bilma,18.69,76.59,16,0,13.96
Olesno,50.88,53.89,100,40,4.7
Vysokogornyy,50.1,36.95,59,18,2.66
Chuy,-33.69,56.71,87,17,5.12
Salinas,36.67,80.15,20,0,6.58
Mopipi,-21.2,80.55,22,89,5.35
Kulim,5.37,75.09,100,75,1.99
Sicuani,-14.27,42.57,56,85,9.15
Vorozhba,51.17,51.87,89,64,4.12
Wagar,31.44,57.02,57,0,3.85
Junction City,39.03,62.53,34,1,4.7
Bandar-e Lengeh,26.56,82.4,69,0,2.64
Barabai,-2.59,80.53,55,65,0.67
Osakarovka,50.56,35.64,54,99,16.89
Kieta,-6.22,82.89,74,35,8.7
Burnie,-41.05,63.32,65,12,5.99
Bam,29.11,65.17,26,0,4.52
Gubkinskiy,64.43,24.96,94,100,14.12
Miranda,-20.24,76.37,42,0,4.03
Palestine,31.76,77.16,33,1,8.05
Lodeynoye Pole,60.73,41.02,94,60,3.49
Port Lincoln,-34.72,86.74,14,2,21.36
Lebork,54.54,45.82,93,11,8.05
Farah,32.37,51.04,40,10,7.0
Bontang,0.12,79.92,82,72,4.0
Sinnamary,5.38,81.43,79,44,17.05
Raha,26.23,66.94,92,100,3.4
Ulaangom,49.98,21.7,59,96,4.09
Santa catarina de Tepehuanes,25.34,66.34,49,2,5.19
Kavaratti,10.57,82.81,77,100,23.31
San Carlos de Bariloche,-41.13,66.2,20,3,18.34
Sainte-Martine,45.25,53.53,58,75,14.99
Bone,51.97,53.55,100,90,6.93
Muros,42.77,52.11,100,20,2.24
Atikokan,48.76,31.89,88,100,9.44
Znamenskoye,57.13,35.19,87,99,12.08
Serebryansk,49.68,26.01,63,91,2.3
Qeshm,26.96,77.86,69,0,4.7
Matara,-3.48,58.39,86,4,4.29
Abdanan,32.99,65.44,46,70,5.75
Uzunovo,41.84,49.87,57,0,4.7
Batemans Bay,-35.71,66.49,40,0,5.26
Vardo,39.62,59.05,31,1,9.17
Iqaluit,63.75,33.35,86,90,27.51
Tapes,-30.67,57.92,90,0,2.89
Shumskiy,54.83,27.88,48,95,4.54
Itoman,26.12,73.8,64,75,13.87
Tripoli,37.51,63.77,76,0,4.7
Ayagoz,47.96,28.58,55,100,1.68
Karasuk,53.73,35.87,74,100,14.54
Nachalovo,46.34,39.07,80,0,4.5
Mezen,65.85,30.38,86,96,6.24
Bugiri,0.57,64.22,93,84,1.5
Luganville,-15.51,82.4,65,75,18.34
Lodja,-3.52,69.8,98,100,1.28
Cedar City,37.68,64.76,12,1,17.22
Douglas,58.28,45.37,93,90,23.04
Ponte Nova,-20.42,66.34,89,39,3.91
Herat,34.35,41.92,51,23,6.98
Foumban,5.73,67.3,94,100,2.39
Kalianget,-7.74,79.99,79,20,5.97
Aitape,-3.15,82.85,68,0,1.34
Kanniyakumari,8.08,78.42,89,100,16.69
Kaeo,-35.1,66.99,70,0,1.99
Leeton,-34.55,81.73,16,0,11.41
Camargo,27.69,77.11,34,0,2.35
Perth,-31.95,57.47,87,20,5.82
Chilliwack,49.17,54.61,58,75,4.7
Kendal,-6.92,84.99,79,63,2.51
Vetrisoaia,46.43,54.14,73,5,3.27
Miandrivazo,-19.53,82.53,54,75,2.37
Benicarlo,40.42,50.5,79,36,1.01
Lakes Entrance,-37.88,66.99,41,22,8.03
Mnogovershinnyy,53.94,34.41,89,79,5.17
Sibolga,1.74,72.12,95,69,1.12
Nkayi,-4.18,73.08,96,100,3.33
Balabac,7.99,83.89,72,36,4.94
Hirara,24.8,72.52,78,20,4.7
Pasni,25.26,80.98,13,0,25.64
Kattivakkam,13.22,76.48,94,75,5.82
Sabha,27.03,68.04,37,0,10.04
Mantua,45.16,60.6,93,89,1.12
Norfolk,36.85,62.62,63,1,3.36
Emba,34.81,69.35,82,40,4.7
Chudniv,50.05,53.26,94,50,1.41
Wanning,48.64,50.47,100,90,4.7
Asosa,10.07,63.55,91,73,3.85
Belmonte,40.36,49.57,92,58,6.11
Vershino-Darasunskiy,52.35,14.72,81,0,2.1
Sorsk,54.0,26.44,61,100,8.3
Kibala,9.11,75.2,94,20,0.22
Aden,12.79,79.3,50,16,2.89
Aquiraz,-3.9,80.6,78,20,8.05
Ohara,35.12,63.9,100,75,9.17
Tres Arroyos,-38.38,46.02,94,3,7.16
Saint-Georges,46.12,45.07,100,20,7.0
Zhangye,38.94,28.53,32,0,0.6
Sitka,37.17,64.0,32,85,7.49
Aljezur,37.31,58.46,71,78,15.3
Lincoln,53.23,50.9,100,100,8.05
Darnah,32.77,72.14,77,9,11.32
Mayumba,-3.44,77.94,87,100,9.75
Namtsy,62.72,17.6,85,75,2.24
Palmerston,-12.49,82.35,69,20,6.93
Sambava,-14.27,70.21,97,44,1.95
Chimoio,-19.11,73.4,94,75,2.75
Troitskoye,52.98,31.37,66,100,9.28
Cap-aux-Meules,47.38,48.2,87,90,20.8
Meulaboh,4.14,79.2,81,100,2.71
Mandalgovi,45.76,18.14,50,67,4.43
Bela,26.23,79.32,43,0,6.2
Kathu,-27.7,55.99,29,3,8.03
San Ignacio,-5.15,71.6,88,75,21.92
Srednekolymsk,67.46,2.59,94,96,7.96
Pudozh,61.81,40.68,89,100,5.59
East Wenatchee,47.42,57.33,35,1,6.93
Aswan,24.09,77.0,36,0,6.93
Ostroleka,53.09,46.99,53,20,6.49
Kawalu,-7.38,74.75,61,62,2.98
Dhemaji,27.48,67.01,83,100,3.44
Sidhi,24.41,68.47,59,95,2.26
Ngunguru,-35.62,64.0,54,3,15.99
Le Port,42.87,48.81,91,88,3.0
Grevena,40.09,52.38,50,0,5.82
Calvinia,-31.47,48.99,63,97,1.97
Pallisa,1.17,64.67,96,84,1.48
Agadir,30.42,57.2,76,0,4.25
Abu Kamal,34.45,73.29,36,91,3.83
Tubuala,9.52,80.6,83,40,2.24
Kungurtug,50.6,8.78,74,21,4.36
